left_eye_left_side_white,left_eye_right_side_white,right_eye_left_side_white,right_eye_right_side_white,left_ratio,right_ratio,eye_ratio
15,40,46,48,0.38,0.38,0.38
19,39,55,59,0.49,0.49,0.49
29,35,59,64,0.83,0.83,0.83
21,32,61,53,0.66,0.66,0.66
23,32,63,55,0.72,0.72,0.72
21,38,61,48,0.55,0.55,0.55
24,30,65,49,0.8,0.8,0.8
26,35,64,59,0.74,0.74,0.74
18,40,55,53,0.45,0.45,0.45
5,44,40,72,0.11,0.11,0.11
6,39,36,66,0.15,0.15,0.15
12,45,37,64,0.27,0.27,0.27
10,52,38,65,0.19,0.19,0.19
16,47,44,47,0.34,0.34,0.34
16,45,44,54,0.36,0.36,0.36
15,46,44,61,0.33,0.33,0.33
10,45,46,62,0.22,0.22,0.22
15,40,39,67,0.38,0.38,0.38
14,41,40,65,0.34,0.34,0.34
10,45,44,61,0.22,0.22,0.22
11,45,42,56,0.24,0.24,0.24
14,43,48,60,0.33,0.33,0.33
12,46,44,64,0.26,0.26,0.26
12,40,44,62,0.3,0.3,0.3
13,42,47,57,0.31,0.31,0.31
11,47,43,66,0.23,0.23,0.23
8,64,27,67,0.12,0.12,0.12
7,57,31,57,0.12,0.12,0.12
2,27,11,26,0.07,0.07,0.07
5,39,21,42,0.13,0.13,0.13
6,42,21,44,0.14,0.14,0.14
5,46,23,52,0.11,0.11,0.11
4,49,25,58,0.08,0.08,0.08
4,45,23,53,0.09,0.09,0.09
4,46,26,55,0.09,0.09,0.09
5,50,27,57,0.1,0.1,0.1
5,49,24,52,0.1,0.1,0.1
7,45,26,62,0.16,0.16,0.16
4,50,29,67,0.08,0.08,0.08
5,51,25,61,0.1,0.1,0.1
5,39,5,12,0.13,0.13,0.13
1,43,8,35,0.02,0.02,0.02
3,50,8,50,0.06,0.06,0.06
3,56,15,46,0.05,0.05,0.05
4,57,15,47,0.07,0.07,0.07
3,43,20,52,0.07,0.07,0.07
4,47,21,56,0.09,0.09,0.09
4,46,29,59,0.09,0.09,0.09
4,49,24,48,0.08,0.08,0.08
3,50,24,54,0.06,0.06,0.06
2,49,25,62,0.04,0.04,0.04
